latitude,longitude,altitude(m),heading(deg),curvesize(m),rotationdir,gimbalmode,gimbalpitchangle,actiontype1,actionparam1,actiontype2,actionparam2,actiontype3,actionparam3,actiontype4,actionparam4,actiontype5,actionparam5,actiontype6,actionparam6,actiontype7,actionparam7,actiontype8,actionparam8,actiontype9,actionparam9,actiontype10,actionparam10,actiontype11,actionparam11,actiontype12,actionparam12,actiontype13,actionparam13,actiontype14,actionparam14,actiontype15,actionparam15,altitudemode,speed(m/s),poi_latitude,poi_longitude,poi_altitude(m),poi_altitudemode,photo_timeinterval,photo_distinterval
37.5623244318,-122.0507922538,60.96,-97.08,0.2,0,2,-90,0,10000,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5622622945,-122.0514773531,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5624007480,-122.0515751132,60.96,82.92,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5624877398,-122.0506159721,60.96,82.92,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5626347890,-122.0506189616,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5625353692,-122.0517151248,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5626825616,-122.0517165367,60.96,82.92,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5627819815,-122.0506203713,60.96,82.92,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5629291739,-122.0506217811,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5628297541,-122.0517179486,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5629769465,-122.0517193605,60.96,82.92,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5630763663,-122.0506231908,60.96,82.92,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5631987048,-122.0508986438,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
37.5631365670,-122.0515837511,60.96,-97.08,0.2,0,2,-90,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,-1,0,0,6.09,0,0,0,0,2,-1
